,JWTRNS_8.0,HISP_2,HISP_4,HISP_21,HISP_24,OCCP_6240.0,OCCP_9830.0,RAC1P_3,RAC1P_7,RAC1P_9,RACASN_0,RACASN_1,RACNH_0,RACNH_1,RACNUM_1,RACNUM_2,RACNUM_3,RACNUM_4,RACPI_0,RACPI_1,SFR_2.0,WAOB_8,OCCP_510.0,RACNUM_5,RACNUM_6,OCCP_2755.0,INTP,OIP,PAP,RETP,SEMP,SSIP,SSP,WAGP,PERNP,PINCP,POVPIP,Predictions,Label,Match
0,0.000447878,0.030791625,0.001679543,0,0.001903482,0.000447878,0.001343635,0.002239391,0.000559848,0.023737543,0.95342067,0.04657933,0.999776061,0.000223939,0.976262457,0.021498153,0.002239391,0,0.998432426,0.001567574,0.001119695,0.000559848,0,0,0,0,3012.90029,798.5689792,40.21234503,4863.615141,1879.121604,205.8427855,4434.998681,29790.25244,32049.81233,45025.51227,342.2929258,0,0,True
1,0.001974348,0.228044518,0.001754976,0.00039487,0.009155125,0.000935987,0.000892113,0.07338725,0.002091347,0.037673487,0.954604619,0.045395381,0.99820115,0.00179885,0.962326513,0.035070272,0.002383843,0.000160873,0.996665545,0.003334455,0.003626951,0.000877488,4.39E-05,5.85E-05,0,0,2336.570893,673.0283432,30.03799124,2995.878181,1465.639596,234.4624682,3658.658644,25751.90705,27638.0363,37146.18317,300.3141629,1,1,True
2,0.000381098,0.016006098,0.000254065,0,0.001397358,0.00050813,0.001778455,0.046620935,0.000889228,0.018292683,0.990218496,0.009781504,0.999872967,0.000127033,0.981707317,0.01765752,0.000635163,0,0.99898374,0.00101626,0.000762195,0.000381098,0.000889228,0,0,0,2831.627256,746.455196,30.79495955,1389.390168,4822.05476,162.881145,3218.626322,27543.10828,32747.24823,40744.93824,336.2628989,0,0,True
3,0.000424358,0.013944409,0.000661999,0.000322512,0.001612561,0.000314025,0.000203692,0.001179716,0.000458307,0.023568852,0.976091661,0.023908339,0.999584129,0.000415871,0.976431148,0.021922342,0.001553151,9.34E-05,0.999159771,0.000840229,0.002002971,0.000246128,5.94E-05,0,0,0,1924.474268,600.2562368,37.568293,3040.171642,1439.858988,316.8272747,3420.94177,26213.03192,28049.21473,36993.1304,312.9375672,1,1,True
4,0.000534616,0.041432772,0.000233895,0.000100241,0.002506014,0.000634857,0.000601443,0.004978615,0.002038225,0.028234429,0.980987704,0.019012296,0.999465384,0.000534616,0.971765571,0.026931302,0.001102646,0.000167068,0.997861534,0.002138466,0.003274526,0.001436782,3.34E-05,3.34E-05,0,0,1460.244227,669.9133699,26.07096722,2159.919587,1628.94849,369.1748749,3903.197562,20690.60205,22667.2641,30908.07113,277.7600042,1,1,True
5,0.000696049,0.040784417,0.003308753,0.001200432,0.002844721,0.000504383,0.001614026,0.002703493,0.000706136,0.025148541,0.955674814,0.044325186,0.99922325,0.00077675,0.974851459,0.023060395,0.001805691,0.000181578,0.998668429,0.001331571,0.00314735,0.000484208,1.01E-05,3.03E-05,7.06E-05,1.01E-05,1820.599505,598.5055392,21.25616994,2588.760722,1706.622418,261.9968069,3149.949178,28392.49021,30565.50565,38540.18055,306.7491341,1,1,True
6,0.001123115,0.02757926,0.063564252,0.008451059,0.005756591,0.000785677,0.000941805,0.002256302,0.000483493,0.024849538,0.963763189,0.036236811,0.999597089,0.000402911,0.975150462,0.022890383,0.001792954,0.000135982,0.998771121,0.001228879,0.002679358,0.000559039,3.02E-05,3.02E-05,0,0,3585.496321,745.3623311,24.96907337,3140.988233,1734.808419,266.8384487,4106.450092,25543.05134,27607.07615,39147.96427,308.1263708,0,0,True
7,0.001672424,0.28574372,0.002852487,0.000323781,0.009989056,0.000618128,0.000866985,0.007760049,0.003315414,0.049048859,0.821567048,0.178432952,0.997615792,0.002384208,0.950951141,0.044427616,0.004144936,0.000438844,0.994720491,0.005279509,0.00599932,0.002183517,1.34E-05,3.75E-05,0,0,3260.102961,662.269349,59.48625148,2729.069298,2639.55732,305.0061283,2617.905092,32960.06264,36143.03531,45233.45904,326.3508803,0,0,True
8,0.001636174,0.021419009,0.000594972,0.000892459,0.00475978,0.000594972,0.002231147,0.004611037,0.006544697,0.07913134,0.937230403,0.062769597,0.99524022,0.00475978,0.92086866,0.073181615,0.005057266,0.000892459,0.991521642,0.008478358,0.005354752,0.002528633,0,0,0,0,1663.728121,981.9992221,142.5573707,2667.236484,2556.182419,238.9731622,2067.607935,28335.22559,31404.43258,38653.51031,296.6435135,0,0,True
9,0.000969579,0.075505999,0.000363592,0.000242395,0.005332687,0.000605987,0.000787783,0.016301054,0.00139377,0.024481881,0.980063023,0.019936977,0.998363835,0.001636165,0.975518119,0.022300327,0.002060356,0.000121197,0.997818446,0.002181554,0.002787541,0.001211974,6.06E-05,0,0,0,1853.679762,631.8040201,28.62418151,2517.450129,1909.782092,279.259936,3561.686463,22948.80615,25272.28872,33731.09274,289.9074454,1,0,False
10,0.00047944,0.098980391,0.001893788,0.000367571,0.002301312,0.000431496,0.00023972,0.001286497,0.000391543,0.023588449,0.943897528,0.056102472,0.999496588,0.000503412,0.976411551,0.022030269,0.001422339,0.000135841,0.99916098,0.00083902,0.002652901,0.000655235,4.00E-05,0,0,7.99E-06,2186.447907,569.4038807,35.54205697,2962.262493,1709.499503,236.9063277,3118.123208,31688.93045,33885.23466,42507.11584,329.8741641,0,0,True
11,0.000648078,0.02145137,0.000696683,0.000162019,0.0016688,0.000405049,0.000518462,0.003580629,0.000891107,0.022115649,0.977608918,0.022391082,0.999465336,0.000534664,0.977884351,0.020463051,0.001522982,0.000129616,0.998963076,0.001036924,0.002559907,0.000388847,8.10E-05,0,0,0,2108.175555,683.5331833,24.70730991,2444.52604,1676.904315,288.0966826,3573.940699,25132.19532,27225.7855,35932.07911,303.6502274,1,1,True
12,0.002985489,0.026522252,0.00111088,0.00027772,0.019093244,0.00048601,0.014372006,0.00159689,0.116225786,0.24175519,0.44796223,0.55203777,0.747552593,0.252447407,0.75824481,0.146636117,0.084565715,0.008887037,0.946608345,0.053391655,0.016107755,0.013052836,6.94E-05,0.00166632,0,0,3144.108566,643.1088179,56.77154124,3352.056381,2100.227368,199.0603239,3254.827586,29319.45969,31817.43849,42069.62035,348.3600816,0,0,True
13,0.000379443,0.017854884,0.001138328,0.000421603,0.001791812,0.000632404,0.000969687,0.00436359,0.000316202,0.01724356,0.98421097,0.01578903,0.999599477,0.000400523,0.98275644,0.016168473,0.000948607,0.000126481,0.999641638,0.000358362,0.002613938,0.000400523,2.11E-05,0,0,2.11E-05,1464.377877,712.6590454,19.26305783,2890.76731,1494.387983,372.6435862,3989.988493,22296.62122,24125.95787,33240.7086,290.8199735,1,1,True
14,0.000275938,0.015521523,0.000793322,6.90E-05,0.001793598,0.000241446,0.000517384,0.005070364,0.00031043,0.013245033,0.987617274,0.012382726,0.999862031,0.000137969,0.986754967,0.012520695,0.000586369,0.000137969,0.99924117,0.00075883,0.002483444,0.000137969,0,0,0,0,1327.898581,610.0612688,24.19949917,2458.383556,1292.219783,405.3547579,3574.906511,19813.76586,21454.3047,29506.78982,268.9992363,1,1,True
15,0.001300771,0.069005886,0.000845501,0.001463367,0.005885987,0.000845501,0.00045527,0.0133329,0.00575591,0.024454489,0.969334331,0.030665669,0.99687815,0.00312185,0.975545511,0.021690352,0.002308868,0.00045527,0.990699489,0.009300511,0.006698969,0.002569022,0,0,0,0,1922.448088,483.1223188,21.53915314,2141.024104,1732.909963,175.99863,2520.551013,28443.59139,30882.55453,37441.18466,320.3542654,0,0,True
16,0.000770331,0.29075261,0.002428631,0.001297799,0.0126137,0.000595773,0.000815868,0.003817504,0.000823458,0.027720541,0.943784793,0.056215207,0.99928659,0.00071341,0.972279459,0.025959783,0.001605173,0.0001442,0.998436569,0.001563431,0.004121082,0.000565416,1.90E-05,1.14E-05,0,3.79E-06,2107.679437,655.1979438,19.16633625,2199.953727,2173.941216,230.0118015,2748.201223,29695.99265,32421.79354,39830.14433,309.7249522,0,0,True
17,0.000677736,0.013893595,0.000112956,0.000112956,0.001581385,0.000338868,0.000790692,0.089574156,0.000112956,0.017847057,0.988026658,0.011973342,0.999887044,0.000112956,0.982152943,0.016943409,0.000903648,0,0.999661132,0.000338868,0.000903648,0.000112956,0.000112956,0,0,0,2511.528769,801.601568,33.31233375,1867.968641,3491.878482,213.2297354,3245.308694,23436.78342,27431.75014,35601.61179,306.2282778,0,0,True
18,0.000528414,0.023235099,0.00140407,0.000422731,0.001781509,0.000437828,0.000920949,0.001675826,0.000362341,0.018781327,0.978863458,0.021136542,0.999592367,0.000407633,0.981218673,0.017709403,0.000936047,9.06E-05,0.999124343,0.000875657,0.003261066,0.000211365,1.51E-05,4.53E-05,0,0,2064.388366,657.0967218,23.91269068,2539.280428,2076.398139,293.2455191,3728.721916,24922.31061,27377.34527,36305.35439,299.9408301,1,1,True
19,0.001227755,0.076687489,0.00133569,0.000215869,0.003764217,0.000472214,0.001861871,0.018686167,0.004776103,0.054547417,0.898986765,0.101013235,0.996519111,0.003480889,0.945452583,0.049231641,0.004924513,0.000364279,0.992997747,0.007002253,0.003453905,0.00207774,2.70E-05,2.70E-05,0,0,2879.570868,902.8763061,90.58374976,2943.199299,2122.372899,262.6327146,3472.035174,33066.93384,35684.89817,45740.20488,342.2151363,0,0,True
20,0.000569685,0.023580875,0.002299084,0.000244151,0.001525941,0.000386572,0.00093591,0.003031536,0.000610376,0.020712106,0.980162767,0.019837233,0.999715158,0.000284842,0.979287894,0.019043744,0.001525941,6.10E-05,0.999348932,0.000651068,0.001993896,0.000447609,4.07E-05,8.14E-05,0,0,2181.96325,839.5122824,22.17504836,2934.067166,1777.253482,252.1566731,4003.273211,23807.84623,25918.4806,35818.24734,299.9077088,1,1,True
21,0.000742124,0.017463851,0.002202432,0.000766063,0.003519104,0.000371062,0.003100163,0.002717131,0.000670305,0.03552619,0.921382744,0.078617256,0.999329695,0.000670305,0.96447381,0.031791631,0.003411376,0.000287274,0.99862348,0.00137652,0.00323183,0.000586517,2.39E-05,3.59E-05,0,0,2525.11223,709.3608961,20.88281999,3906.50726,1798.439164,203.6895037,3072.685655,36238.99114,38578.29132,48475.66867,354.872622,0,0,True
22,0.000948017,0.004740085,0.000474009,0.000158003,0.001896034,0.000158003,0,0.002844051,0,0.016432296,0.985779744,0.014220256,0.999841997,0.000158003,0.983567704,0.015800284,0.000632011,0,0.999841997,0.000158003,0.001580028,0.000316006,0,0,0,0,3364.732208,605.2050624,30.04218635,2358.826119,2511.333456,310.2347762,3904.178283,25587.2854,28474.65985,38671.83749,328.0445935,1,1,True
23,0.000286533,0.007258835,0.002578797,0.000573066,0.003629417,0.000286533,0.001432665,0.003247373,0.000764088,0.028366762,0.958739255,0.041260745,0.999808978,0.000191022,0.971633238,0.026838586,0.001432665,9.55E-05,0.998758357,0.001241643,0.002292264,0.000286533,0,0,0,0,2428.98834,683.0061077,38.64519711,2655.068295,1863.200444,353.8922821,3318.420877,32170.68073,34520.73665,43511.90228,346.9188668,0,1,False
